Part_ID,Part_Name,Part_Category,Product_ID,Material_Type,Supplier_ID,Unit_Cost,Min_Stock_Level,Lead_Time_Days,Status
PRT20119,Advanced Composite Shims,Rubber Components,PRD10006,Rubber,SPL100070,1.55,230,32,Active
PRT20120,High-Performance Thermal Insulators,Rubber Components,PRD10006,Rubber,SPL100071,1.65,180,30,Active
PRT20121,Premium Rubber Dampeners,Rubber Components,PRD10006,Rubber,SPL100072,1.40,230,28,Active
PRT20122,Advanced Phenolic Resin Compound,Binding Materials,PRD10006,Chemical,SPL100090,4.25,90,28,Active
PRT20123,Premium Surface Coating Material,Binding Materials,PRD10006,Chemical,SPL100091,3.35,110,26,Active
PRT20124,Enhanced Anti-Squeal Compound,Binding Materials,PRD10006,Chemical,SPL100092,3.65,90,32,Active
PRT20125,Reinforced Retention Clips,Hardware,PRD10006,Metal,SPL100065,0.95,380,42,Active
PRT20126,Precision Wear Sensor Clips,Hardware,PRD10006,Metal,SPL100066,1.35,280,38,Active
PRT20127,Premium Installation Hardware,Hardware,PRD10006,Metal,SPL100067,1.55,230,32,Active
PRT20128,High-Grade Polypropylene Frame,Frame Components,PRD10010,Plastic,SPL100075,2.25,160,28,Active
PRT20129,Reinforced Cross Braces,Frame Components,PRD10010,Plastic,SPL100076,1.05,330,42,Active
PRT20130,Premium End Caps,Frame Components,PRD10010,Plastic,SPL100077,0.95,380,26,Active
PRT20131,Heavy-Duty Support Mesh Grid,Frame Components,PRD10010,Steel,SPL100065,1.65,230,42,Active
PRT20132,Advanced Pleated Filter Media,Filter Media,PRD10010,Filter Media,SPL100080,3.25,130,35,Active
PRT20133,Premium Pre-Filter Layer,Filter Media,PRD10010,Filter Media,SPL100081,1.85,180,30,Active
PRT20134,Enhanced Support Media Layer,Filter Media,PRD10010,Filter Media,SPL100082,1.65,230,38,Active
PRT20135,High-Performance Spacing Elements,Filter Media,PRD10010,Plastic,SPL100075,0.75,480,28,Active
PRT20136,Premium Polyurethane Gasket,Sealing Components,PRD10010,Rubber,SPL100070,1.15,280,32,Active
PRT20137,Advanced Edge Seals,Sealing Components,PRD10010,Rubber,SPL100071,1.05,330,30,Active
PRT20138,High-Grade Frame Seal Material,Sealing Components,PRD10010,Rubber,SPL100072,0.95,380,28,Active
PRT20139,Reinforced Brace Fasteners,Hardware,PRD10010,Metal,SPL100065,0.55,580,42,Active
PRT20140,Premium Assembly Clips,Hardware,PRD10010,Metal,SPL100066,0.65,530,38,Active
PRT20141,Heavy-Duty Grid Fasteners,Hardware,PRD10010,Metal,SPL100067,0.60,580,32,Active
PRT20142,Advanced Polypropylene Frame,Frame Components,PRD10014,Plastic,SPL100075,2.45,160,28,Active
PRT20143,Reinforced Reinforcement Ribs,Frame Components,PRD10014,Plastic,SPL100076,1.15,280,42,Active
PRT20144,Precision Mounting Tabs,Frame Components,PRD10014,Plastic,SPL100077,0.85,430,26,Active
PRT20145,Heavy-Duty Support Mesh,Frame Components,PRD10014,Steel,SPL100065,1.55,230,42,Active
PRT20146,Premium Melt Blown Media,Filter Media,PRD10014,Filter Media,SPL100080,3.35,120,35,Active
PRT20147,Advanced HEPA Filter Media,Filter Media,PRD10014,Filter Media,SPL100081,5.25,90,30,Active
PRT20148,Enhanced Electrostatic Media,Filter Media,PRD10014,Filter Media,SPL100082,2.85,130,38,Active
PRT20149,Premium Carbon Filter Media,Filter Media,PRD10015,Filter Media,SPL100095,4.35,100,38,Active
PRT20150,High-Performance Pre-Filter Layer,Filter Media,PRD10014,Filter Media,SPL100081,1.75,180,30,Active
PRT20151,Advanced Edge Sealing Strips,Sealing Components,PRD10014,Rubber,SPL100070,1.05,330,32,Active
PRT20152,Premium Mounting Seals,Sealing Components,PRD10014,Rubber,SPL100071,1.15,280,30,Active
PRT20153,Enhanced Frame Gaskets,Sealing Components,PRD10014,Rubber,SPL100072,0.95,380,28,Active
PRT20154,Precision Spacing Elements,Assembly Components,PRD10014,Plastic,SPL100075,0.65,530,28,Active
PRT20155,Advanced Bonding Adhesive,Assembly Components,PRD10014,Chemical,SPL100090,1.45,180,28,Active
PRT20156,Premium Assembly Adhesive,Assembly Components,PRD10014,Chemical,SPL100091,1.55,160,26,Active
PRT20157,Precision Hardened Steel Shaft,Rotor Assembly,PRD10018,Steel,SPL100065,9.75,45,42,Active
PRT20158,Premium Copper Field Coil,Rotor Assembly,PRD10018,Copper,SPL100085,13.95,25,40,Active
PRT20159,Advanced Steel Pole Pieces,Rotor Assembly,PRD10018,Steel,SPL100066,7.65,55,38,Active
PRT20160,High-Performance Slip Rings,Rotor Assembly,PRD10018,Copper,SPL100086,8.95,45,38,Active
PRT20161,Reinforced Rotor Core,Rotor Assembly,PRD10018,Steel,SPL100067,10.25,35,32,Active
PRT20162,Premium Silicon Steel Core,Stator Assembly,PRD10018,Steel,SPL100068,12.95,30,40,Active
PRT20163,Advanced Copper Phase Windings,Stator Assembly,PRD10018,Copper,SPL100087,15.95,20,32,Active
PRT20164,High-Grade Insulation Material,Stator Assembly,PRD10018,Insulation,SPL100080,5.65,70,35,Active
PRT20165,Precision Core Fasteners,Stator Assembly,PRD10018,Metal,SPL100065,1.45,180,42,Active
PRT20166,Premium Aluminum Drive Frame,Frame Components,PRD10018,Aluminum,SPL100076,10.95,35,42,Active
PRT20167,Advanced Aluminum Slip Ring Frame,Frame Components,PRD10018,Aluminum,SPL100077,10.75,35,26,Active
PRT20168,Reinforced Through Bolts,Frame Components,PRD10018,Steel,SPL100065,1.65,180,42,Active
PRT20169,Heavy-Duty Mounting Brackets,Frame Components,PRD10018,Steel,SPL100066,4.25,90,38,Active
PRT20170,High-Performance Silicon Diodes,Electrical Components,PRD10018,Electronic,SPL100087,3.45,130,32,Active
PRT20171,Advanced Voltage Regulator,Electrical Components,PRD10018,Electronic,SPL100088,9.50,45,42,Active
PRT20172,Premium Carbon Copper Brushes,Electrical Components,PRD10018,Composite,SPL100089,3.75,110,36,Active
PRT20173,Precision Terminal Connectors,Electrical Components,PRD10018,Metal,SPL100065,2.15,160,42,Active
PRT20174,Enhanced Wiring Harness,Electrical Components,PRD10018,Composite,SPL100087,5.65,70,32,Active
PRT20175,Premium Ball Bearings,Bearing Assembly,PRD10018,Steel,SPL100100,6.45,60,32,Active
PRT20176,Advanced Bearing Seals,Bearing Assembly,PRD10018,Rubber,SPL100070,2.25,130,32,Active
PRT20177,Reinforced Bearing Retainers,Bearing Assembly,PRD10018,Metal,SPL100065,2.55,120,42,Active
PRT20178,Heavy-Duty Steel Pulley,Drive Components,PRD10018,Steel,SPL100065,8.65,45,42,Active
PRT20179,High-Performance Cooling Fan,Drive Components,PRD10018,Plastic,SPL100075,4.45,80,28,Active
PRT20180,Precision Pulley Bolt,Drive Components,PRD10018,Steel,SPL100066,1.15,280,38,Active
PRT20181,Advanced Woodruff Key,Drive Components,PRD10018,Steel,SPL100067,0.95,330,32,Active
PRT20182,Premium Mounting Grommets,Sealing/Insulation,PRD10018,Rubber,SPL100070,1.35,230,32,Active
PRT20183,Enhanced Sealing Rings,Sealing/Insulation,PRD10018,Rubber,SPL100071,1.45,210,30,Active
PRT20184,Advanced Insulation Bushings,Sealing/Insulation,PRD10018,Rubber,SPL100072,1.55,200,28,Active
PRT20185,Premium Terminal Covers,Sealing/Insulation,PRD10018,Plastic,SPL100075,1.65,180,28,Active
PRT20186,High-Performance Heat Sink Compound,Sealing/Insulation,PRD10018,Chemical,SPL100090,3.35,100,28,Active
PRT20187,Heavy-Duty Steel Housing,Metal Components,PRD10003,Steel,SPL100001,3.25,160,30,Active
PRT20188,Reinforced Steel Center Tube,Metal Components,PRD10003,Steel,SPL100065,1.75,250,42,Active
PRT20189,Industrial Support Mesh,Metal Components,PRD10003,Steel,SPL100066,1.35,350,38,Active
PRT20190,Heavy-Duty End Plates,Metal Components,PRD10003,Steel,SPL100067,1.65,200,32,Active
PRT20191,Industrial Threaded Collar,Metal Components,PRD10003,Steel,SPL100068,1.45,250,40,Active
PRT20192,Heavy-Duty Relief Valve Spring,Metal Components,PRD10003,Steel,SPL100069,0.85,450,48,Active
PRT20193,Industrial Bypass Valve Spring,Metal Components,PRD10003,Steel,SPL100001,0.80,450,30,Active
PRT20194,Heavy-Duty Nitrile Rubber Gasket,Rubber Components,PRD10003,Rubber,SPL100006,0.75,550,15,Active
PRT20195,Industrial Anti-Drainback Valve,Rubber Components,PRD10003,Rubber,SPL100070,1.05,350,32,Active
PRT20196,Heavy-Duty End Disc Seals,Rubber Components,PRD10003,Rubber,SPL100071,0.70,650,30,Active
PRT20197,Industrial Filter Media Blend,Filter Media,PRD10003,Filter Media,SPL100016,2.45,150,30,Active
PRT20198,Heavy-Duty Outer Wrap,Filter Media,PRD10003,Filter Media,SPL100080,1.40,250,35,Active
PRT20199,Industrial Support Media Layer,Filter Media,PRD10003,Filter Media,SPL100081,1.30,300,30,Active
PRT20200,Heavy-Duty Bypass Valve Assembly,Hardware,PRD10003,Metal,SPL100001,1.85,150,30,Active
