Claim_ID,Product_ID,Batch_ID,Customer_ID,Dealer_ID,Claim_Date,Installation_Date,Failure_Date,Claim_Status,Failure_Mode,Failure_Cause,Failure_Resolution,Part_Condition,Mileage_At_Failure,Vehicle_Make,Vehicle_Model,Vehicle_Year,VIN,Labor_Hours,Labor_Cost,Parts_Cost,Total_Claim_Amount,Technician_Notes,Quality_Review_Status,Claim_Approval_Date,Reimbursement_Date,Claim_Processing_Time_Days,Warranty_Coverage_Percentage,Return_Material_Authorization,Root_Cause_Analysis_Completed,Corrective_Action_Required,Customer_Satisfaction_Score,State
WC10030,PRD10001,PB00001,CUST7890,DLR234,2025-06-28,2025-02-18,2025-06-25,Pending,Thread Insert Failure,Manufacturing Defect,Pending,Damaged,25900,Hyundai,Santa Fe,2024,5NMS3DAJ9LH901234,0.75,67.50,12.99,80.49,"Thread insert separated from filter base",In Review,,,5,100,RMA10030,No,Pending,,NJ
WC10031,PRD10001,PB00001,CUST8901,DLR567,2025-04-15,2025-01-25,2025-04-10,Approved,Relief Valve Spring Fatigue,Material Defect,Replacement,Damaged,19800,Subaru,Outback,2023,4S4BTGPD2L3012345,0.5,45.00,12.99,57.99,"Relief valve spring failed prematurely",Passed,2025-04-20,2025-04-25,5,100,RMA10031,Yes,Yes,5,CT
WC10032,PRD10001,PB00001,CUST9012,DLR890,2025-05-25,2025-02-05,2025-05-20,Approved,Canister Denting,Manufacturing Defect,Replacement,Damaged,23400,Volkswagen,Tiguan,2024,3VV2B7AX4LM123456,0.5,45.00,12.99,57.99,"Filter canister showed pre-existing dent affecting performance",Passed,2025-05-30,2025-06-04,5,100,RMA10032,Yes,Yes,4,RI
WC10033,PRD10001,PB00001,CUST0123,DLR123,2025-07-10,2025-02-15,2025-07-05,Pending,Media Pleat Separation,Manufacturing Defect,Pending,Damaged,28700,Audi,Q5,2025,WA1BNAFY7L2234567,0.5,45.00,12.99,57.99,"Filter media pleats separated causing bypass",In Review,,,5,100,RMA10033,No,Pending,,MA
WC10034,PRD10001,PB00001,CUST1234,DLR456,2025-04-28,2025-01-30,2025-04-25,Approved,Contamination,Manufacturing Defect,Replacement,Damaged,17500,BMW,X3,2024,5UXTY5C06L9345678,0.5,45.00,12.99,57.99,"Internal contamination found in new filter",Passed,2025-05-03,2025-05-08,5,100,RMA10034,Yes,Yes,4,VT
WC10035,PRD10001,PB00001,CUST2345,DLR789,2025-06-05,2025-02-10,2025-06-01,Approved,Base Plate Warping,Manufacturing Defect,Replacement,Damaged,26300,Lexus,RX,2023,2T2HZMDAXMC456789,0.5,45.00,12.99,57.99,"Filter base plate warped causing improper sealing",Passed,2025-06-10,2025-06-15,5,100,RMA10035,Yes,Yes,5,NH
WC10036,PRD10001,PB00001,CUST3456,DLR234,2025-07-20,2025-02-25,2025-07-15,Pending,Media Migration,Material Defect,Pending,Damaged,31200,Infiniti,QX60,2024,5N1DL0MN8LC567890,0.5,45.00,12.99,57.99,"Filter media migrated causing partial blockage",In Review,,,5,100,RMA10036,No,Pending,,ME
WC10037,PRD10001,PB00001,CUST4567,DLR567,2025-05-08,2025-02-01,2025-05-05,Approved,Pressure Differential Valve Failure,Design Flaw,Replacement,Damaged,20100,Acura,MDX,2025,5J8YD4H57LL678901,0.5,45.00,12.99,57.99,"Pressure differential valve failed to open at specified pressure",Passed,2025-05-13,2025-05-18,5,100,RMA10037,Yes,Yes,4,AK
WC10038,PRD10001,PB00001,CUST5678,DLR890,2025-06-18,2025-02-12,2025-06-15,Approved,Adhesive Failure,Manufacturing Defect,Replacement,Damaged,24800,Volvo,XC60,2024,YV4162UK5L2789012,0.5,45.00,12.99,57.99,"Adhesive between components failed prematurely",Passed,2025-06-23,2025-06-28,5,100,RMA10038,Yes,Yes,5,HI
WC10039,PRD10001,PB00001,CUST6789,DLR345,2025-08-05,2025-02-28,2025-08-01,Pending,Seal Extrusion,Material Defect,Pending,Damaged,33500,Mercedes-Benz,GLC,2023,WDCGG8JB5LF890123,0.5,45.00,12.99,57.99,"Filter seal extruded under normal operating pressure",In Review,,,5,100,RMA10039,No,Pending,,TX
WC10040,PRD10001,PB00001,CUST7890,DLR678,2025-05-15,2025-02-05,2025-05-12,Approved,Media Density Variation,Manufacturing Defect,Replacement,Damaged,21700,Cadillac,XT5,2024,1GYKNARS4LZ901234,0.5,45.00,12.99,57.99,"Inconsistent media density causing uneven filtration",Passed,2025-05-20,2025-05-25,5,100,RMA10040,Yes,Yes,4,CA
