Batch_ID,Product_ID,Line_ID,Facility_ID,Production_Date,Shift,Quantity_Produced,Quantity_Rejected,Start_Time,End_Time,Cycle_Time_Seconds,Operator_ID,Quality_Check_Status,Material_Lot_Number,Downtime_Minutes,Energy_Consumption_kWh,Notes
PB00052,PRD10011,PL008,FAC002,2025-01-03,Morning,1650,14,07:00:00,15:00:00,14.5,OP271,Passed,ML-89012-03,25,1360,"Heavy duty air filter production"
PB00053,PRD10012,PL018,FAC006,2025-01-03,Morning,1450,10,07:00:00,15:00:00,16.6,OP375,Passed,ML-56789-03,10,1300,"Washable air filter production"
PB00054,PRD10013,PL009,FAC002,2025-01-03,Morning,1850,20,07:00:00,15:00:00,13.0,OP274,Passed,ML-90123-03,30,1230,"Standard cabin filter production"
PB00055,PRD10014,PL024,FAC009,2025-01-03,Morning,1650,13,07:00:00,15:00:00,14.5,OP457,Passed,ML-67890-03,20,1300,"HEPA cabin filter production"
PB00056,PRD10015,PL015,FAC004,2025-01-03,Morning,1550,12,07:00:00,15:00:00,15.5,OP347,Passed,ML-34567-03,15,1360,"Carbon cabin filter production"
PB00057,PRD10016,PL015,FAC004,2025-01-03,Afternoon,1500,15,15:00:00,23:00:00,16.0,OP348,Passed,ML-34567-03,25,1370,"Hypoallergenic cabin filter production"
PB00058,PRD10017,PL010,FAC002,2025-01-03,Morning,1350,6,07:00:00,15:00:00,17.8,OP277,Passed,ML-12345-03,35,1630,"Standard alternator production"
PB00059,PRD10018,PL010,FAC002,2025-01-03,Afternoon,1250,5,15:00:00,23:00:00,19.2,OP278,Passed,ML-12345-03,30,1700,"High-output alternator production"
PB00060,PRD10019,PL019,FAC006,2025-01-03,Morning,1150,4,07:00:00,15:00:00,20.9,OP378,Passed,ML-78901-03,20,1760,"Heavy duty alternator production"
PB00061,PRD10020,PL019,FAC006,2025-01-03,Afternoon,1200,7,15:00:00,23:00:00,20.0,OP379,Passed,ML-78901-03,25,1730,"Compact alternator production"
PB00062,PRD10001,PL012,FAC004,2025-01-15,Morning,2950,28,07:00:00,15:00:00,8.1,OP350,Passed,ML-78542-15,35,1230,"Mid-month production run"
PB00063,PRD10002,PL016,FAC006,2025-01-15,Morning,2750,38,07:00:00,15:00:00,8.7,OP381,Passed,ML-65432-15,45,1180,"Mid-month production run"
PB00064,PRD10003,PL011,FAC004,2025-01-15,Morning,2600,24,07:00:00,15:00:00,9.2,OP353,Passed,ML-98765-15,25,1290,"Mid-month production run"
PB00065,PRD10004,PL020,FAC009,2025-01-15,Morning,2100,17,07:00:00,15:00:00,11.4,OP460,Passed,ML-34567-15,15,1350,"Mid-month production run"
PB00066,PRD10005,PL003,FAC001,2025-01-15,Morning,1900,14,07:00:00,15:00:00,12.6,OP145,Passed,ML-23456-15,20,1390,"Mid-month production run"
PB00067,PRD10006,PL007,FAC002,2025-01-15,Morning,1800,19,07:00:00,15:00:00,13.3,OP280,Passed,ML-87654-15,25,1320,"Mid-month production run"
PB00068,PRD10007,PL013,FAC004,2025-01-15,Morning,1600,11,07:00:00,15:00:00,15.0,OP356,Passed,ML-45678-15,10,1450,"Mid-month production run"
PB00069,PRD10008,PL022,FAC009,2025-01-15,Morning,1400,10,07:00:00,15:00:00,17.1,OP463,Passed,ML-01234-15,5,1490,"Mid-month production run"
PB00070,PRD10009,PL005,FAC001,2025-01-15,Morning,2000,16,07:00:00,15:00:00,12.0,OP148,Passed,ML-67890-15,15,1250,"Mid-month production run"
PB00071,PRD10010,PL014,FAC004,2025-01-15,Morning,1800,15,07:00:00,15:00:00,13.3,OP359,Passed,ML-12345-15,10,1320,"Mid-month production run"
PB00072,PRD10011,PL018,FAC006,2025-01-15,Morning,1700,13,07:00:00,15:00:00,14.1,OP384,Passed,ML-89012-15,20,1350,"Mid-month production run"
PB00073,PRD10012,PL008,FAC002,2025-01-15,Morning,1500,9,07:00:00,15:00:00,16.0,OP283,Passed,ML-56789-15,5,1290,"Mid-month production run"
PB00074,PRD10013,PL024,FAC009,2025-01-15,Morning,1900,19,07:00:00,15:00:00,12.6,OP466,Passed,ML-90123-15,25,1220,"Mid-month production run"
PB00075,PRD10014,PL009,FAC002,2025-01-15,Morning,1700,12,07:00:00,15:00:00,14.1,OP286,Passed,ML-67890-15,15,1290,"Mid-month production run"
PB00076,PRD10015,PL015,FAC004,2025-01-15,Morning,1600,11,07:00:00,15:00:00,15.0,OP362,Passed,ML-34567-15,10,1350,"Mid-month production run"
PB00077,PRD10016,PL015,FAC004,2025-01-15,Afternoon,1550,14,15:00:00,23:00:00,15.5,OP363,Passed,ML-34567-15,20,1360,"Mid-month production run"
PB00078,PRD10017,PL010,FAC002,2025-01-15,Morning,1400,5,07:00:00,15:00:00,17.1,OP289,Passed,ML-12345-15,30,1620,"Mid-month production run"
PB00079,PRD10018,PL010,FAC002,2025-01-15,Afternoon,1300,4,15:00:00,23:00:00,18.5,OP290,Passed,ML-12345-15,25,1690,"Mid-month production run"
PB00080,PRD10019,PL019,FAC006,2025-01-15,Morning,1200,3,07:00:00,15:00:00,20.0,OP387,Passed,ML-78901-15,15,1750,"Mid-month production run"
PB00081,PRD10020,PL019,FAC006,2025-01-15,Afternoon,1250,6,15:00:00,23:00:00,19.2,OP388,Passed,ML-78901-15,20,1720,"Mid-month production run"
PB00082,PRD10001,PL021,FAC009,2025-01-31,Morning,3000,27,07:00:00,15:00:00,8.0,OP469,Passed,ML-78542-31,30,1220,"Month-end production run"
PB00083,PRD10002,PL006,FAC002,2025-01-31,Morning,2800,37,07:00:00,15:00:00,8.6,OP292,Passed,ML-65432-31,40,1170,"Month-end production run"
PB00084,PRD10003,PL002,FAC001,2025-01-31,Morning,2650,23,07:00:00,15:00:00,9.1,OP151,Passed,ML-98765-31,20,1280,"Month-end production run"
PB00085,PRD10004,PL011,FAC004,2025-01-31,Morning,2150,16,07:00:00,15:00:00,11.2,OP365,Passed,ML-34567-31,10,1340,"Month-end production run"
PB00086,PRD10005,PL017,FAC006,2025-01-31,Morning,1950,13,07:00:00,15:00:00,12.3,OP390,Passed,ML-23456-31,15,1380,"Month-end production run"
PB00087,PRD10006,PL003,FAC001,2025-01-31,Morning,1850,18,07:00:00,15:00:00,13.0,OP154,Passed,ML-87654-31,20,1310,"Month-end production run"
PB00088,PRD10007,PL004,FAC001,2025-01-31,Morning,1650,10,07:00:00,15:00:00,14.5,OP157,Passed,ML-45678-31,5,1440,"Month-end production run"
PB00089,PRD10008,PL013,FAC004,2025-01-31,Morning,1450,9,07:00:00,15:00:00,16.6,OP368,Passed,ML-01234-31,0,1480,"Month-end production run"
PB00090,PRD10009,PL023,FAC009,2025-01-31,Morning,2050,15,07:00:00,15:00:00,11.7,OP472,Passed,ML-67890-31,10,1240,"Month-end production run"
PB00091,PRD10010,PL005,FAC001,2025-01-31,Morning,1850,14,07:00:00,15:00:00,13.0,OP160,Passed,ML-12345-31,5,1310,"Month-end production run"
PB00092,PRD10011,PL008,FAC002,2025-01-31,Morning,1750,12,07:00:00,15:00:00,13.7,OP295,Passed,ML-89012-31,15,1340,"Month-end production run"
PB00093,PRD10012,PL018,FAC006,2025-01-31,Morning,1550,8,07:00:00,15:00:00,15.5,OP393,Passed,ML-56789-31,0,1280,"Month-end production run"
PB00094,PRD10013,PL009,FAC002,2025-01-31,Morning,1950,18,07:00:00,15:00:00,12.3,OP298,Passed,ML-90123-31,20,1210,"Month-end production run"
PB00095,PRD10014,PL024,FAC009,2025-01-31,Morning,1750,11,07:00:00,15:00:00,13.7,OP475,Passed,ML-67890-31,10,1280,"Month-end production run"
PB00096,PRD10015,PL015,FAC004,2025-01-31,Morning,1650,10,07:00:00,15:00:00,14.5,OP371,Passed,ML-34567-31,5,1340,"Month-end production run"
PB00097,PRD10016,PL015,FAC004,2025-01-31,Afternoon,1600,13,15:00:00,23:00:00,15.0,OP372,Passed,ML-34567-31,15,1350,"Month-end production run"
PB00098,PRD10017,PL010,FAC002,2025-01-31,Morning,1450,4,07:00:00,15:00:00,16.6,OP301,Passed,ML-12345-31,25,1610,"Month-end production run"
PB00099,PRD10018,PL010,FAC002,2025-01-31,Afternoon,1350,3,15:00:00,23:00:00,17.8,OP302,Passed,ML-12345-31,20,1680,"Month-end production run"
PB00100,PRD10019,PL019,FAC006,2025-01-31,Morning,1250,2,07:00:00,15:00:00,19.2,OP396,Passed,ML-78901-31,10,1740,"Month-end production run"
PB00101,PRD10020,PL019,FAC006,2025-01-31,Afternoon,1300,5,15:00:00,23:00:00,18.5,OP397,Passed,ML-78901-31,15,1710,"Month-end production run"
PB00102,PRD10001,PL001,FAC001,2025-02-01,Morning,2900,31,07:00:00,15:00:00,8.3,OP125,Passed,ML-78542-32,42,1245,"New month production run"
PB00103,PRD10002,PL006,FAC002,2025-02-01,Morning,2700,43,07:00:00,15:00:00,8.9,OP238,Passed,ML-65432-32,58,1175,"New month production run"
PB00104,PRD10003,PL011,FAC004,2025-02-01,Morning,2500,27,07:00:00,15:00:00,9.6,OP312,Passed,ML-98765-32,28,1315,"New month production run"
PB00105,PRD10004,PL020,FAC009,2025-02-01,Morning,2000,21,07:00:00,15:00:00,12.0,OP427,Passed,ML-34567-32,23,1375,"New month production run"
PB00106,PRD10005,PL003,FAC001,2025-02-01,Morning,1800,17,07:00:00,15:00:00,13.3,OP156,Passed,ML-23456-32,33,1415,"New month production run"
PB00107,PRD10006,PL007,FAC002,2025-02-01,Morning,1700,24,07:00:00,15:00:00,14.1,OP241,Passed,ML-87654-32,38,1345,"New month production run"
PB00108,PRD10007,PL013,FAC004,2025-02-01,Morning,1500,14,07:00:00,15:00:00,16.0,OP318,Passed,ML-45678-32,18,1475,"New month production run"
PB00109,PRD10008,PL022,FAC009,2025-02-01,Morning,1300,13,07:00:00,15:00:00,18.5,OP431,Passed,ML-01234-32,13,1515,"New month production run"
PB00110,PRD10009,PL005,FAC001,2025-02-01,Morning,1900,20,07:00:00,15:00:00,12.6,OP162,Passed,ML-67890-32,28,1275,"New month production run"
PB00111,PRD10010,PL014,FAC004,2025-02-01,Morning,1700,18,07:00:00,15:00:00,14.1,OP324,Passed,ML-12345-32,23,1345,"New month production run"
PB00112,PRD10011,PL008,FAC002,2025-02-01,Morning,1600,16,07:00:00,15:00:00,15.0,OP245,Passed,ML-89012-32,33,1375,"New month production run"
PB00113,PRD10012,PL018,FAC006,2025-02-01,Morning,1400,11,07:00:00,15:00:00,17.1,OP352,Passed,ML-56789-32,18,1315,"New month production run"
PB00114,PRD10013,PL009,FAC002,2025-02-01,Morning,1800,22,07:00:00,15:00:00,13.3,OP248,Passed,ML-90123-32,38,1245,"New month production run"
PB00115,PRD10014,PL024,FAC009,2025-02-01,Morning,1600,15,07:00:00,15:00:00,15.0,OP435,Passed,ML-67890-32,28,1315,"New month production run"
PB00116,PRD10015,PL015,FAC004,2025-02-01,Morning,1500,14,07:00:00,15:00:00,16.0,OP328,Passed,ML-34567-32,23,1375,"New month production run"
PB00117,PRD10016,PL015,FAC004,2025-02-01,Afternoon,1450,17,15:00:00,23:00:00,16.6,OP329,Passed,ML-34567-32,33,1385,"New month production run"
PB00118,PRD10017,PL010,FAC002,2025-02-01,Morning,1300,7,07:00:00,15:00:00,18.5,OP252,Passed,ML-12345-32,43,1645,"New month production run"
PB00119,PRD10018,PL010,FAC002,2025-02-01,Afternoon,1200,6,15:00:00,23:00:00,20.0,OP253,Passed,ML-12345-32,38,1715,"New month production run"
PB00120,PRD10019,PL019,FAC006,2025-02-01,Morning,1100,5,07:00:00,15:00:00,21.8,OP356,Passed,ML-78901-32,28,1775,"New month production run"
PB00121,PRD10020,PL019,FAC006,2025-02-01,Afternoon,1150,8,15:00:00,23:00:00,20.9,OP357,Passed,ML-78901-32,33,1745,"New month production run"
PB00122,PRD10001,PL021,FAC009,2025-02-01,Morning,2800,29,07:00:00,15:00:00,8.6,OP438,Passed,ML-23456-32,38,1265,"New month production run"
PB00123,PRD10002,PL012,FAC004,2025-02-01,Morning,2750,41,07:00:00,15:00:00,8.7,OP332,Passed,ML-90123-32,53,1195,"New month production run"
PB00124,PRD10001,PL016,FAC006,2025-02-01,Morning,2700,37,07:00:00,15:00:00,8.9,OP360,Passed,ML-56789-32,58,1215,"New month production run"
PB00125,PRD10003,PL002,FAC001,2025-02-15,Morning,2550,25,07:00:00,15:00:00,9.4,OP128,Passed,ML-98765-46,33,1305,"Mid-month production run"
PB00126,PRD10004,PL002,FAC001,2025-02-15,Afternoon,2050,19,15:00:00,23:00:00,11.7,OP129,Passed,ML-98765-46,28,1365,"Mid-month production run"
PB00127,PRD10005,PL017,FAC006,2025-02-15,Morning,1850,15,07:00:00,15:00:00,13.0,OP363,Passed,ML-23456-46,23,1405,"Mid-month production run"
PB00128,PRD10006,PL003,FAC001,2025-02-15,Morning,1750,21,07:00:00,15:00:00,13.7,OP132,Passed,ML-87654-46,33,1335,"Mid-month production run"
PB00129,PRD10007,PL004,FAC001,2025-02-15,Morning,1550,12,07:00:00,15:00:00,15.5,OP135,Passed,ML-45678-46,13,1465,"Mid-month production run"
PB00130,PRD10008,PL004,FAC001,2025-02-15,Afternoon,1350,11,15:00:00,23:00:00,17.8,OP136,Passed,ML-45678-46,18,1505,"Mid-month production run"
PB00131,PRD10009,PL023,FAC009,2025-02-15,Morning,1950,17,07:00:00,15:00:00,12.3,OP442,Passed,ML-67890-46,23,1265,"Mid-month production run"
PB00132,PRD10010,PL005,FAC001,2025-02-15,Morning,1750,16,07:00:00,15:00:00,13.7,OP138,Passed,ML-12345-46,18,1335,"Mid-month production run"
PB00133,PRD10011,PL018,FAC006,2025-02-15,Morning,1650,14,07:00:00,15:00:00,14.5,OP366,Passed,ML-89012-46,28,1365,"Mid-month production run"
PB00134,PRD10012,PL008,FAC002,2025-02-15,Morning,1450,10,07:00:00,15:00:00,16.6,OP256,Passed,ML-56789-46,13,1305,"Mid-month production run"
PB00135,PRD10013,PL024,FAC009,2025-02-15,Morning,1850,20,07:00:00,15:00:00,13.0,OP445,Passed,ML-90123-46,33,1235,"Mid-month production run"
PB00136,PRD10014,PL009,FAC002,2025-02-15,Morning,1650,13,07:00:00,15:00:00,14.5,OP259,Passed,ML-67890-46,23,1305,"Mid-month production run"
PB00137,PRD10015,PL015,FAC004,2025-02-15,Afternoon,1550,12,15:00:00,23:00:00,15.5,OP335,Passed,ML-34567-46,18,1365,"Mid-month production run"
PB00138,PRD10016,PL015,FAC004,2025-02-15,Morning,1500,15,07:00:00,15:00:00,16.0,OP336,Passed,ML-34567-46,28,1375,"Mid-month production run"
PB00139,PRD10017,PL010,FAC002,2025-02-15,Afternoon,1350,6,15:00:00,23:00:00,17.8,OP262,Passed,ML-12345-46,38,1635,"Mid-month production run"
PB00140,PRD10018,PL010,FAC002,2025-02-15,Morning,1250,5,07:00:00,15:00:00,19.2,OP263,Passed,ML-12345-46,33,1705,"Mid-month production run"
PB00141,PRD10019,PL019,FAC006,2025-02-15,Afternoon,1150,4,15:00:00,23:00:00,20.9,OP369,Passed,ML-78901-46,23,1765,"Mid-month production run"
PB00142,PRD10020,PL019,FAC006,2025-02-15,Morning,1200,7,07:00:00,15:00:00,20.0,OP370,Passed,ML-78901-46,28,1735,"Mid-month production run"
PB00143,PRD10001,PL006,FAC002,2025-02-28,Morning,2950,29,07:00:00,15:00:00,8.1,OP265,Passed,ML-78542-59,38,1235,"Month-end production run"
PB00144,PRD10002,PL001,FAC001,2025-02-28,Morning,2750,39,07:00:00,15:00:00,8.7,OP142,Passed,ML-65432-59,48,1185,"Month-end production run"
PB00145,PRD10003,PL020,FAC009,2025-02-28,Morning,2600,24,07:00:00,15:00:00,9.2,OP448,Passed,ML-98765-59,28,1295,"Month-end production run"
PB00146,PRD10004,PL011,FAC004,2025-02-28,Morning,2100,17,07:00:00,15:00:00,11.4,OP338,Passed,ML-34567-59,18,1355,"Month-end production run"
PB00147,PRD10005,PL007,FAC002,2025-02-28,Morning,1900,14,07:00:00,15:00:00,12.6,OP268,Passed,ML-23456-59,23,1395,"Month-end production run"
PB00148,PRD10006,PL017,FAC006,2025-02-28,Morning,1800,19,07:00:00,15:00:00,13.3,OP372,Passed,ML-87654-59,28,1325,"Month-end production run"
PB00149,PRD10007,PL022,FAC009,2025-02-28,Morning,1600,11,07:00:00,15:00:00,15.0,OP451,Passed,ML-45678-59,13,1455,"Month-end production run"
PB00150,PRD10008,PL013,FAC004,2025-02-28,Morning,1400,10,07:00:00,15:00:00,17.1,OP341,Passed,ML-01234-59,8,1495,"Month-end production run"
PB00151,PRD10009,PL014,FAC004,2025-02-28,Morning,2000,16,07:00:00,15:00:00,12.0,OP344,Passed,ML-67890-59,18,1255,"Month-end production run"
PB00152,PRD10010,PL023,FAC009,2025-02-28,Morning,1800,15,07:00:00,15:00:00,13.3,OP454,Passed,ML-12345-59,13,1325,"Month-end production run"
PB00153,PRD10011,PL008,FAC002,2025-02-28,Morning,1700,13,07:00:00,15:00:00,14.1,OP271,Passed,ML-89012-59,23,1355,"Month-end production run"
PB00154,PRD10012,PL018,FAC006,2025-02-28,Morning,1500,9,07:00:00,15:00:00,16.0,OP375,Passed,ML-56789-59,8,1295,"Month-end production run"
PB00155,PRD10013,PL009,FAC002,2025-02-28,Morning,1900,19,07:00:00,15:00:00,12.6,OP274,Passed,ML-90123-59,28,1225,"Month-end production run"
PB00156,PRD10014,PL024,FAC009,2025-02-28,Morning,1700,12,07:00:00,15:00:00,14.1,OP457,Passed,ML-67890-59,18,1295,"Month-end production run"
PB00157,PRD10015,PL015,FAC004,2025-02-28,Morning,1600,11,07:00:00,15:00:00,15.0,OP347,Passed,ML-34567-59,13,1355,"Month-end production run"
PB00158,PRD10016,PL015,FAC004,2025-02-28,Afternoon,1550,14,15:00:00,23:00:00,15.5,OP348,Passed,ML-34567-59,23,1365,"Month-end production run"
PB00159,PRD10017,PL010,FAC002,2025-02-28,Morning,1400,5,07:00:00,15:00:00,17.1,OP277,Passed,ML-12345-59,33,1625,"Month-end production run"
PB00160,PRD10018,PL010,FAC002,2025-02-28,Afternoon,1300,4,15:00:00,23:00:00,18.5,OP278,Passed,ML-12345-59,28,1695,"Month-end production run"
PB00161,PRD10019,PL019,FAC006,2025-02-28,Morning,1200,3,07:00:00,15:00:00,20.0,OP378,Passed,ML-78901-59,18,1755,"Month-end production run"
PB00162,PRD10020,PL019,FAC006,2025-02-28,Afternoon,1250,6,15:00:00,23:00:00,19.2,OP379,Passed,ML-78901-59,23,1725,"Month-end production run"
PB00163,PRD10001,PL012,FAC004,2025-03-01,Morning,3000,30,07:00:00,15:00:00,8.0,OP350,Passed,ML-78542-60,40,1225,"New month production run"
PB00164,PRD10002,PL016,FAC006,2025-03-01,Morning,2800,40,07:00:00,15:00:00,8.6,OP381,Passed,ML-65432-60,50,1175,"New month production run"
PB00165,PRD10003,PL011,FAC004,2025-03-01,Morning,2650,26,07:00:00,15:00:00,9.1,OP353,Passed,ML-98765-60,30,1285,"New month production run"
