Config_ID,Line_ID,Machine_ID,Sequence_Number,Setup_Time_Minutes,Changeover_Time_Minutes,Bottleneck_Status,Last_Calibration_Date,Next_Calibration_Date,Operator_Skill_Level_Required,Maintenance_Priority
LC079,PL019,MCH047,1,65,115,No,2025-03-05,2025-06-05,4,High
LC080,PL019,MCH048,2,60,105,Yes,2025-03-08,2025-06-08,4,High
LC081,PL019,MCH049,3,70,125,No,2025-03-10,2025-06-10,4,High
LC082,PL019,MCH050,4,55,95,No,2025-03-12,2025-06-12,3,Medium
LC083,PL020,MCH035,1,50,95,No,2025-03-01,2025-06-01,4,High
LC084,PL020,MCH036,2,35,65,No,2025-03-05,2025-06-05,3,Medium
LC085,PL020,MCH037,3,45,80,Yes,2025-03-08,2025-06-08,4,High
LC086,PL021,MCH001,1,45,90,No,2025-02-20,2025-05-20,3,Medium
LC087,PL021,MCH002,2,30,60,No,2025-02-25,2025-05-25,3,Medium
LC088,PL021,MCH003,3,40,75,Yes,2025-02-28,2025-05-28,4,High
LC089,PL022,MCH038,1,60,105,No,2025-03-05,2025-06-05,4,High
LC090,PL022,MCH039,2,65,115,Yes,2025-03-08,2025-06-08,4,High
LC091,PL022,MCH040,3,50,90,No,2025-03-10,2025-06-10,3,Medium
LC092,PL022,MCH013,4,40,75,No,2025-03-12,2025-06-12,3,Medium
LC093,PL023,MCH016,1,50,95,No,2025-02-25,2025-05-25,3,Medium
LC094,PL023,MCH017,2,40,75,Yes,2025-02-28,2025-05-28,4,High
LC095,PL023,MCH018,3,35,65,No,2025-03-01,2025-06-01,3,Medium
LC096,PL024,MCH022,1,50,95,No,2025-03-10,2025-06-10,3,Medium
LC097,PL024,MCH023,2,45,85,No,2025-03-12,2025-06-12,3,Medium
LC098,PL024,MCH024,3,40,75,Yes,2025-03-15,2025-06-15,4,High
LC099,PL024,MCH026,4,30,50,No,2025-03-18,2025-06-18,2,Low
