EBOM_ID,Batch_ID,Product_ID,Part_ID,Quantity_Per_Unit,Revision_Number,Effective_Date,Status,Engineering_Approval,Quality_Approval,Manufacturing_Approval,Notes
EBOM10055,PB00042,PRD10001,PRT20007,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10056,PB00042,PRD10001,PRT20008,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10057,PB00042,PRD10001,PRT20009,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10058,PB00042,PRD10001,PRT20010,2,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10059,PB00042,PRD10001,PRT20011,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10060,PB00042,PRD10001,PRT20012,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10061,PB00042,PRD10001,PRT20013,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10062,PB00042,PRD10001,PRT20014,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10063,PB00042,PRD10001,PRT20015,1,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10064,PB00042,PRD10001,PRT20016,2,B,2025-01-01,Active,ENG126,QA459,MFG792,"Revised design with improved sealing"
EBOM10065,PB00062,PRD10001,PRT20001,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10066,PB00062,PRD10001,PRT20002,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10067,PB00062,PRD10001,PRT20003,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10068,PB00062,PRD10001,PRT20004,2,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10069,PB00062,PRD10001,PRT20005,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10070,PB00062,PRD10001,PRT20006,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10071,PB00062,PRD10001,PRT20007,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10072,PB00062,PRD10001,PRT20008,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10073,PB00062,PRD10001,PRT20009,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10074,PB00062,PRD10001,PRT20010,2,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10075,PB00062,PRD10001,PRT20011,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10076,PB00062,PRD10001,PRT20012,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10077,PB00062,PRD10001,PRT20013,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10078,PB00062,PRD10001,PRT20014,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10079,PB00062,PRD10001,PRT20015,1,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10080,PB00062,PRD10001,PRT20016,2,B,2025-01-01,Active,ENG127,QA460,MFG793,"Revised design with improved sealing"
EBOM10081,PB00082,PRD10001,PRT20001,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10082,PB00082,PRD10001,PRT20002,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10083,PB00082,PRD10001,PRT20003,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10084,PB00082,PRD10001,PRT20004,2,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10085,PB00082,PRD10001,PRT20005,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10086,PB00082,PRD10001,PRT20006,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10087,PB00082,PRD10001,PRT20007,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10088,PB00082,PRD10001,PRT20008,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10089,PB00082,PRD10001,PRT20009,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10090,PB00082,PRD10001,PRT20010,2,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10091,PB00082,PRD10001,PRT20011,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10092,PB00082,PRD10001,PRT20012,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10093,PB00082,PRD10001,PRT20013,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10094,PB00082,PRD10001,PRT20014,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10095,PB00082,PRD10001,PRT20015,1,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10096,PB00082,PRD10001,PRT20016,2,C,2025-01-15,Active,ENG128,QA461,MFG794,"Optimized design with enhanced filtration"
EBOM10097,PB00102,PRD10001,PRT20001,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10098,PB00102,PRD10001,PRT20002,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10099,PB00102,PRD10001,PRT20003,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10100,PB00102,PRD10001,PRT20004,2,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10101,PB00102,PRD10001,PRT20005,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10102,PB00102,PRD10001,PRT20006,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10103,PB00102,PRD10001,PRT20007,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10104,PB00102,PRD10001,PRT20008,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10105,PB00102,PRD10001,PRT20009,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10106,PB00102,PRD10001,PRT20010,2,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10107,PB00102,PRD10001,PRT20011,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10108,PB00102,PRD10001,PRT20012,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10109,PB00102,PRD10001,PRT20013,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10110,PB00102,PRD10001,PRT20014,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10111,PB00102,PRD10001,PRT20015,1,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10112,PB00102,PRD10001,PRT20016,2,C,2025-01-15,Active,ENG129,QA462,MFG795,"Optimized design with enhanced filtration"
EBOM10113,PB00122,PRD10001,PRT20001,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10114,PB00122,PRD10001,PRT20002,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10115,PB00122,PRD10001,PRT20003,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10116,PB00122,PRD10001,PRT20004,2,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10117,PB00122,PRD10001,PRT20005,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10118,PB00122,PRD10001,PRT20006,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10119,PB00122,PRD10001,PRT20007,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10120,PB00122,PRD10001,PRT20008,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10121,PB00122,PRD10001,PRT20009,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10122,PB00122,PRD10001,PRT20010,2,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10123,PB00122,PRD10001,PRT20011,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10124,PB00122,PRD10001,PRT20012,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10125,PB00122,PRD10001,PRT20013,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10126,PB00122,PRD10001,PRT20014,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10127,PB00122,PRD10001,PRT20015,1,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10128,PB00122,PRD10001,PRT20016,2,C,2025-01-15,Active,ENG130,QA463,MFG796,"Optimized design with enhanced filtration"
EBOM10129,PB00124,PRD10001,PRT20001,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10130,PB00124,PRD10001,PRT20002,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10131,PB00124,PRD10001,PRT20003,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10132,PB00124,PRD10001,PRT20004,2,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10133,PB00124,PRD10001,PRT20005,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10134,PB00124,PRD10001,PRT20006,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10135,PB00124,PRD10001,PRT20007,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10136,PB00124,PRD10001,PRT20008,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10137,PB00124,PRD10001,PRT20009,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10138,PB00124,PRD10001,PRT20010,2,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10139,PB00124,PRD10001,PRT20011,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10140,PB00124,PRD10001,PRT20012,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10141,PB00124,PRD10001,PRT20013,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10142,PB00124,PRD10001,PRT20014,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10143,PB00124,PRD10001,PRT20015,1,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10144,PB00124,PRD10001,PRT20016,2,C,2025-01-15,Active,ENG131,QA464,MFG797,"Optimized design with enhanced filtration"
EBOM10145,PB00143,PRD10001,PRT20001,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10146,PB00143,PRD10001,PRT20002,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10147,PB00143,PRD10001,PRT20003,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10148,PB00143,PRD10001,PRT20004,2,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10149,PB00143,PRD10001,PRT20005,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10150,PB00143,PRD10001,PRT20006,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10151,PB00143,PRD10001,PRT20007,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10152,PB00143,PRD10001,PRT20008,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10153,PB00143,PRD10001,PRT20009,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10154,PB00143,PRD10001,PRT20010,2,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10155,PB00143,PRD10001,PRT20011,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10156,PB00143,PRD10001,PRT20012,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10157,PB00143,PRD10001,PRT20013,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10158,PB00143,PRD10001,PRT20014,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10159,PB00143,PRD10001,PRT20015,1,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10160,PB00143,PRD10001,PRT20016,2,D,2025-02-01,Active,ENG132,QA465,MFG798,"Final production design with durability improvements"
EBOM10161,PB00163,PRD10001,PRT20001,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10162,PB00163,PRD10001,PRT20002,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10163,PB00163,PRD10001,PRT20003,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10164,PB00163,PRD10001,PRT20004,2,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10165,PB00163,PRD10001,PRT20005,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10166,PB00163,PRD10001,PRT20006,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10167,PB00163,PRD10001,PRT20007,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10168,PB00163,PRD10001,PRT20008,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10169,PB00163,PRD10001,PRT20009,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10170,PB00163,PRD10001,PRT20010,2,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10171,PB00163,PRD10001,PRT20011,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10172,PB00163,PRD10001,PRT20012,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10173,PB00163,PRD10001,PRT20013,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10174,PB00163,PRD10001,PRT20014,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10175,PB00163,PRD10001,PRT20015,1,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10176,PB00163,PRD10001,PRT20016,2,D,2025-02-01,Active,ENG133,QA466,MFG799,"Final production design with durability improvements"
EBOM10177,PB00183,PRD10001,PRT20001,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10178,PB00183,PRD10001,PRT20002,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10179,PB00183,PRD10001,PRT20003,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10180,PB00183,PRD10001,PRT20004,2,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10181,PB00183,PRD10001,PRT20005,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10182,PB00183,PRD10001,PRT20006,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10183,PB00183,PRD10001,PRT20007,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10184,PB00183,PRD10001,PRT20008,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10185,PB00183,PRD10001,PRT20009,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10186,PB00183,PRD10001,PRT20010,2,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10187,PB00183,PRD10001,PRT20011,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10188,PB00183,PRD10001,PRT20012,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10189,PB00183,PRD10001,PRT20013,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10190,PB00183,PRD10001,PRT20014,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10191,PB00183,PRD10001,PRT20015,1,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10192,PB00183,PRD10001,PRT20016,2,D,2025-02-01,Active,ENG134,QA467,MFG800,"Final production design with durability improvements"
EBOM10193,PB00185,PRD10001,PRT20001,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10194,PB00185,PRD10001,PRT20002,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10195,PB00185,PRD10001,PRT20003,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10196,PB00185,PRD10001,PRT20004,2,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10197,PB00185,PRD10001,PRT20005,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10198,PB00185,PRD10001,PRT20006,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10199,PB00185,PRD10001,PRT20007,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10200,PB00185,PRD10001,PRT20008,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10201,PB00185,PRD10001,PRT20009,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10202,PB00185,PRD10001,PRT20010,2,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10203,PB00185,PRD10001,PRT20011,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10204,PB00185,PRD10001,PRT20012,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10205,PB00185,PRD10001,PRT20013,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10206,PB00185,PRD10001,PRT20014,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10207,PB00185,PRD10001,PRT20015,1,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10208,PB00185,PRD10001,PRT20016,2,D,2025-02-01,Active,ENG135,QA468,MFG801,"Final production design with durability improvements"
EBOM10209,PB00204,PRD10001,PRT20001,1,E,2025-03-01,Active,ENG136,QA469,MFG802,"Latest design with extended service life"
EBOM10210,PB00204,PRD10001,PRT20002,1,E,2025-03-01,Active,ENG136,QA469,MFG802,"Latest design with extended service life"
EBOM10211,PB00204,PRD10001,PRT20003,1,E,2025-03-01,Active,ENG136,QA469,MFG802,"Latest design with extended service life"
EBOM10212,PB00204,PRD10001,PRT20004,2,E,2025-03-01,Active,ENG136,QA469,MFG802,"Latest design with extended service life"
